order_id,order_date,customer_id,customer_name,region,product,category,quantity,unit_price,revenue
1001,2026-01-05,C001,Aarav Sharma,East,Laptop Stand,Accessories,2,1500,3000
1002,2026-01-08,C002,Priya Singh,West,Wireless Mouse,Accessories,5,800,4000
1003,2026-01-12,C003,Rahul Das,East,Monitor,Electronics,2,12000,24000
1004,2026-02-02,C001,Aarav Sharma,South,Keyboard,Accessories,3,1800,5400
1005,2026-02-10,C004,Sneha Patel,North,Laptop,Electronics,1,55000,55000
1006,2026-02-18,C005,Arjun Mehta,West,Monitor,Electronics,1,12500,12500
1007,2026-03-03,C002,Priya Singh,East,Webcam,Electronics,4,2500,10000
1008,2026-03-07,C006,Meera Rao,South,Wireless Mouse,Accessories,6,850,5100
1009,2026-03-15,C003,Rahul Das,North,Keyboard,Accessories,2,1900,3800
1010,2026-03-25,C007,Vikram Jain,West,Laptop,Electronics,1,60000,60000
1011,2026-04-04,C004,Sneha Patel,East,Monitor,Electronics,2,11800,23600
1012,2026-04-12,C008,Neha Verma,North,Laptop Stand,Accessories,4,1450,5800
1013,2026-04-20,C005,Arjun Mehta,South,Webcam,Electronics,3,2700,8100
1014,2026-05-01,C006,Meera Rao,East,Keyboard,Accessories,4,1750,7000
1015,2026-05-09,C007,Vikram Jain,West,Wireless Mouse,Accessories,8,780,6240
1016,2026-05-18,C008,Neha Verma,North,Laptop,Electronics,1,58000,58000
